descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-18%,-18%,,Alfajor Oro Guaymallen 48 Gr.,,,$ 95018%,$ 775,Agregar,"Precio por 1 Kg $ 19.791,67",https://ardiaprod.vtexassets.com/arquivos/ids/329665-500-auto?v=638599638699700000&width=500&height=auto&aspect=true,2025-08-30
-18%,-18%,,Alfajor Chocolate Negro Sol Serrano Tm 40 Gr.,,,$ 45518%,$ 375,Agregar,"Precio por 10 Gr $ 113,75",https://ardiaprod.vtexassets.com/arquivos/ids/330795-500-auto?v=638599654014270000&width=500&height=auto&aspect=true,2025-08-30
-18%,-18%,,Bocadito Dulce de Leche Fantoche 28 Gr.,,,$ 55018%,$ 450,Agregar,"Precio por 10 Gr $ 196,43",https://ardiaprod.vtexassets.com/arquivos/ids/329570-500-auto?v=638786851002170000&width=500&height=auto&aspect=true,2025-08-30
-18%,-18%,,Alfajor Dulce De Leche Sol Serrano Tm 40 Gr.,,,$ 45518%,$ 375,Agregar,"Precio por 10 Gr $ 113,75",https://ardiaprod.vtexassets.com/arquivos/ids/330796-500-auto?v=638599654030500000&width=500&height=auto&aspect=true,2025-08-30
-8%,-8%,,Tostadas Light Dia Gruesas 200 Gr.,,,$ 1.2908%,$ 1.190,Agregar,Precio por 1 Kg $ 6.450,https://ardiaprod.vtexassets.com/arquivos/ids/344523-500-auto?v=638739136100870000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan de Papa Con Semillas Dia 310 Gr.,,,$ 3.30015%,$ 2.805,Agregar,"Precio por 1 Kg $ 9.048,39",https://ardiaprod.vtexassets.com/arquivos/ids/352944-500-auto?v=638869609865700000&width=500&height=auto&aspect=true,2025-08-30
,,,Barra de Chocolate Smack Rellena 35 Gr.,,,2 x $750,$ 500,Agregar,"Precio por 10 Gr $ 142,86",https://ardiaprod.vtexassets.com/arquivos/ids/339984-500-auto?v=638689890963330000&width=500&height=auto&aspect=true,2025-08-30
,,,Gomita Frutilla Bubba 15 Gr.,,,2 x $700,$ 460,Agregar,"Precio por 1 Kg $ 30.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/352612-500-auto?v=638858372390930000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Spaghetti N7 Luchetti 500 Gr.,,,,$ 1.394,Agregar,Precio por 1 Kg $ 2.788,https://ardiaprod.vtexassets.com/arquivos/ids/308821-500-auto?v=638872603209600000&width=500&height=auto&aspect=true,2025-08-30
,,,Bombón De Chocolate Milka Oreo 19 Gr.,,,2 x $900,$ 610,Agregar,"Precio por 10 Gr $ 321,05",https://ardiaprod.vtexassets.com/arquivos/ids/321827-500-auto?v=638599535977570000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Almidón de Maíz DIA 500 Gr.,,,$ 1.99015%,$ 1.690,Agregar,Precio por 1 Kg $ 3.980,https://ardiaprod.vtexassets.com/arquivos/ids/344531-500-auto?v=638739136193530000&width=500&height=auto&aspect=true,2025-08-30
,,,Aceite Comestible Opi Mezcla 900 Ml.,,,,$ 2.190,Agregar,"Precio por 1 LT $ 2.433,33",https://ardiaprod.vtexassets.com/arquivos/ids/350448-500-auto?v=638823960976930000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan de molde DIA Artesanal 540 Gr.,,,$ 3.87515%,$ 3.295,Agregar,"Precio por 1 Kg $ 6.101,85",https://ardiaprod.vtexassets.com/arquivos/ids/340367-500-auto?v=638696796556500000&width=500&height=auto&aspect=true,2025-08-30
-18%,-18%,,Gomitas Acidas Billiken 150 Gr.,,,$ 1.70018%,$ 1.390,Agregar,"Precio por 1 Kg $ 11.333,33",https://ardiaprod.vtexassets.com/arquivos/ids/330116-500-auto?v=638917483011070000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Puré de Tomate Dia con Orégano 520 Gr.,,,$ 1.14514%,$ 990,Agregar,"Precio por 1 Kg $ 2.201,92",https://ardiaprod.vtexassets.com/arquivos/ids/340354-500-auto?v=638732353803700000&width=500&height=auto&aspect=true,2025-08-30
,,,Bocadito Marroc Cachafaz 14 Gr.,,,2 x $1800,$ 1.100,Agregar,"Precio por 10 Gr $ 785,71",https://ardiaprod.vtexassets.com/arquivos/ids/337297-500-auto?v=638786868335970000&width=500&height=auto&aspect=true,2025-08-30
-1%,-1%,,Salsa Pomarola Rina Matarazzo 340 Gr.,,,$ 4.995,$ 4.940,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/352929-500-auto?v=638869609571070000&width=500&height=auto&aspect=true,2025-08-30
-1%,-1%,,Salsa Mediterranea Rina 340 Gr.,,,$ 4.995,$ 4.940,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/352927-500-auto?v=638869609528770000&width=500&height=auto&aspect=true,2025-08-30
,,,Tomate Perita Cubeteado Dia con Agregado de Puré de Tomate 400 Gr.,,,,$ 1.250,Agregar,Precio por 1 Kg $ 3.125,https://ardiaprod.vtexassets.com/arquivos/ids/347277-500-auto?v=638777150264370000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Milka Mousse Blanco 55 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 34.181,82",https://ardiaprod.vtexassets.com/arquivos/ids/323822-500-auto?v=638828518552800000&width=500&height=auto&aspect=true,2025-08-30
,,,Nestlé Bananita Dolca X 30 Gr.,,,2 x $2000,$ 1.360,Agregar,"Precio por 10 Gr $ 453,33",https://ardiaprod.vtexassets.com/arquivos/ids/353987-500-auto?v=638873056134330000&width=500&height=auto&aspect=true,2025-08-30
-8%,-8%,,Tostadas de Mesa Dia 200 Gr.,,,$ 1.2908%,$ 1.190,Agregar,Precio por 1 Kg $ 6.450,https://ardiaprod.vtexassets.com/arquivos/ids/344527-500-auto?v=638739136145430000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Chocolate Con Leche Hersheys 82 Gr.,,,$ 2.90014%,$ 2.500,Agregar,"Precio por 1 Kg $ 35.365,85",https://ardiaprod.vtexassets.com/arquivos/ids/341578-500-auto?v=638708907394670000&width=500&height=auto&aspect=true,2025-08-30
-10%,-10%,,Rebozador DIA 500 Gr.,,,$ 1.06010%,$ 950,Agregar,Precio por 1 Kg $ 2.120,https://ardiaprod.vtexassets.com/arquivos/ids/311481-500-auto?v=638599387071870000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan con Semillas Oroweat 600 Gr.,,,2x1,$ 8.250,Agregar,"Precio por 1 Kg $ 39.285,71",https://ardiaprod.vtexassets.com/arquivos/ids/354668-500-auto?v=638887748086900000&width=500&height=auto&aspect=true,2025-08-30
,,,Fajitas Tía Rosa 10 Ud.,,,2do al 70%,$ 3.565,Agregar,"Precio por 1 Kg $ 12.963,64",https://ardiaprod.vtexassets.com/arquivos/ids/354809-500-auto?v=638887749656930000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Bizcochuelo Smack Doble relleno Dulce de Leche 70 Gr.,,,$ 65015%,$ 550,Agregar,"Precio por 1 Kg $ 9.285,71",https://ardiaprod.vtexassets.com/arquivos/ids/326523-500-auto?v=638786849797030000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan Brioche Dia 300 Gr.,,,$ 3.30015%,$ 2.805,Agregar,Precio por 1 Kg $ 9.350,https://ardiaprod.vtexassets.com/arquivos/ids/351510-500-auto?v=638845610981500000&width=500&height=auto&aspect=true,2025-08-30
-11%,-11%,,Mini Alfajor De Chocolate Cachafaz 27 Gr.,,,$ 1.40011%,$ 1.250,Agregar,"Precio por 10 Gr $ 518,52",https://ardiaprod.vtexassets.com/arquivos/ids/350632-500-auto?v=638827340506630000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Terrabusi Blanco Glaseado 38 Gr.,,,3x2,$ 1.260,Agregar,"Precio por 10 Gr $ 331,58",https://ardiaprod.vtexassets.com/arquivos/ids/307241-500-auto?v=638888002713400000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Chocolate Con Leche Mani Full Mani 100 Gr.,,,$ 2.10015%,$ 1.790,Agregar,Precio por KG $ 17.900,https://ardiaprod.vtexassets.com/arquivos/ids/341523-500-auto?v=638708906716300000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan Arabe Salvado Delipan 300 Gr.,,,$ 2.34015%,$ 1.990,Agregar,Precio por 1 Kg $ 7.800,https://ardiaprod.vtexassets.com/arquivos/ids/330541-500-auto?v=638599650607030000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Mostachol N51 Luchetti 500 Gr.,,,,$ 1.394,Agregar,Precio por 1 Kg $ 2.788,https://ardiaprod.vtexassets.com/arquivos/ids/348059-500-auto?v=638872604994000000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelo Regaliz Bull Dog 18 Gr.,,,2 x $700,$ 450,Agregar,Precio por 10 Gr $ 250,https://ardiaprod.vtexassets.com/arquivos/ids/330834-500-auto?v=638599654510100000&width=500&height=auto&aspect=true,2025-08-30
-7%,-7%,,Aceto Balsámico Cocinero 250 Ml.,,,$ 2.9107%,$ 2.720,Agregar,Precio por 1 LT $ 11.640,https://ardiaprod.vtexassets.com/arquivos/ids/312795-500-auto?v=638599405537030000&width=500&height=auto&aspect=true,2025-08-30
,,,Gomitas Regaliz Frutilla Bulldog 18 Gr.,,,2 x $700,$ 450,Agregar,Precio por 10 Gr $ 250,https://ardiaprod.vtexassets.com/arquivos/ids/307048-500-auto?v=638599325163570000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Chocolate Cookies & Cream Hershey's 77 Gr,,,$ 2.90014%,$ 2.500,Agregar,"Precio por 1 Kg $ 37.662,34",https://ardiaprod.vtexassets.com/arquivos/ids/315894-500-auto?v=638599451669200000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea Kitkat White 4 Fingers X 41.5 Gr.,,,2do al 70%,$ 1.990,Agregar,"Precio por 10 Gr $ 479,52",https://ardiaprod.vtexassets.com/arquivos/ids/353484-500-auto?v=638871332233430000&width=500&height=auto&aspect=true,2025-08-30
,,,Nachos DIA Tradicionales 100 Gr.,,,,$ 2.000,Agregar,Precio por 1 Kg $ 20.000,https://ardiaprod.vtexassets.com/arquivos/ids/340496-500-auto?v=638701120726700000&width=500&height=auto&aspect=true,2025-08-30
,,,Mayonesa Natura 500 Ml.,,,,$ 2.115,Agregar,Precio por 1 LT $ 4.230,https://ardiaprod.vtexassets.com/arquivos/ids/306990-500-auto?v=638599324417500000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Pan Multicereal Masa Madre Cristal 550 Gr.,,,$ 3.49014%,$ 2.990,Agregar,"Precio por 1 Kg $ 5.436,36",https://ardiaprod.vtexassets.com/arquivos/ids/349738-500-auto?v=638816900016570000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan de Molde Rey Oro Blanco 500 Gr.,,,,$ 3.100,Agregar,Precio por 1 Kg $ 6.200,https://ardiaprod.vtexassets.com/arquivos/ids/327045-500-auto?v=638599603588530000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Chocolate Aireado Con Leche Hersheys 85 Gr,,,$ 2.90014%,$ 2.500,Agregar,"Precio por 1 Kg $ 34.117,65",https://ardiaprod.vtexassets.com/arquivos/ids/315205-500-auto?v=638599438620930000&width=500&height=auto&aspect=true,2025-08-30
,,,"Oblea Kitkat Dark 4 Fingers X 41,5 Gr.",,,2do al 70%,$ 1.990,Agregar,"Precio por 10 Gr $ 479,52",https://ardiaprod.vtexassets.com/arquivos/ids/353479-500-auto?v=638871332175000000&width=500&height=auto&aspect=true,2025-08-30
,,,Jugo De Limón Dia 960 Ml.,,,,$ 2.100,Agregar,"Precio por LT $ 2.187,50",https://ardiaprod.vtexassets.com/arquivos/ids/329247-500-auto?v=638599633400630000&width=500&height=auto&aspect=true,2025-08-30
,,,Chupetín Pico Dulce 14 Gr.,,,2 x $650,$ 450,Agregar,"Precio por 10 Gr $ 321,43",https://ardiaprod.vtexassets.com/arquivos/ids/330846-500-auto?v=638599654656700000&width=500&height=auto&aspect=true,2025-08-30
,,,Caballa al natural DIA 380 Gr.,,,,$ 2.490,Agregar,"Precio por 1 Kg $ 6.552,63",https://ardiaprod.vtexassets.com/arquivos/ids/340314-500-auto?v=638863006350000000&width=500&height=auto&aspect=true,2025-08-30
,,,"Gomitas Mix Acidos Bubbaloo 16,5 Gr.",,,2 x $700,$ 460,Agregar,"Precio por 1 Kg $ 27.878,79",https://ardiaprod.vtexassets.com/arquivos/ids/337298-500-auto?v=638661374528030000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Oreo Chocopause 45 Gr.,,,2 x $2900,$ 2.320,Agregar,"Precio por 10 Gr $ 515,56",https://ardiaprod.vtexassets.com/arquivos/ids/318839-500-auto?v=638894011796530000&width=500&height=auto&aspect=true,2025-08-30
,,,Miñon Cocido Congelado 30 Gr.,,,,$ 115,Agregar,"Precio por 10 Gr $ 38,33",https://ardiaprod.vtexassets.com/arquivos/ids/324317-500-auto?v=638599567120570000&width=500&height=auto&aspect=true,2025-08-30
,,,Polvo Bizcochuelo Chocolate Cuquets 450 Gr.,,,,$ 1.815,Agregar,"Precio por 1 Kg $ 4.033,33",https://ardiaprod.vtexassets.com/arquivos/ids/330184-500-auto?v=638599645510970000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan Mignon X 1 Ud.,,,,$ 115,Agregar,"Precio por 10 Gr $ 32,86",https://ardiaprod.vtexassets.com/arquivos/ids/341616-500-auto?v=638708907928230000&width=500&height=auto&aspect=true,2025-08-30
,,,Bizcochuelo Chocman de Bonafide con Baño Semi Amargo 35 Gr.,,,2 x $1200,$ 830,Agregar,"Precio por 1 Kg $ 23.714,29",https://ardiaprod.vtexassets.com/arquivos/ids/330767-500-auto?v=638599653625030000&width=500&height=auto&aspect=true,2025-08-30
-13%,-13%,,Chocolate Block Leche y Maní 110 Gr.,,,$ 4.82513%,$ 4.200,Agregar,"Precio por 1 Kg $ 43.863,64",https://ardiaprod.vtexassets.com/arquivos/ids/312165-500-auto?v=638599396654500000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Con Almendras 55 Gr.,,,2do al 70%,$ 3.940,Agregar,"Precio por 1 Kg $ 71.636,36",https://ardiaprod.vtexassets.com/arquivos/ids/317626-500-auto?v=638824213567400000&width=500&height=auto&aspect=true,2025-08-30
,,,Polvo Bizcochuelo Vainilla Cuquets 450 Gr.,,,,$ 1.730,Agregar,"Precio por 1 Kg $ 3.844,44",https://ardiaprod.vtexassets.com/arquivos/ids/330182-500-auto?v=638599645483100000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea de Arroz Lemonbar Gallo Snacks 20 Gr.,,,2 x $1400,$ 1.050,Agregar,Precio por 10 Gr $ 525,https://ardiaprod.vtexassets.com/arquivos/ids/326224-500-auto?v=638786091160030000&width=500&height=auto&aspect=true,2025-08-30
,,,Nachos Sabor Remolacha y Merken Dia 90 Gr.,,,,$ 2.000,Agregar,"Precio por 1 Kg $ 22.222,22",https://ardiaprod.vtexassets.com/arquivos/ids/340546-500-auto?v=638701121391730000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Con Leche 55 Gr.,,,2do al 70%,$ 3.940,Agregar,"Precio por 1 Kg $ 71.636,36",https://ardiaprod.vtexassets.com/arquivos/ids/317631-500-auto?v=638827519559670000&width=500&height=auto&aspect=true,2025-08-30
,,,Caballa en Aceite DIA 380 Gr.,,,,$ 2.490,Agregar,"Precio por 1 Kg $ 6.552,63",https://ardiaprod.vtexassets.com/arquivos/ids/340311-500-auto?v=638863006174830000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan En Rodajas Sin Tacc Smams 200 Gr.,,,,$ 4.390,Agregar,Precio por 1 Kg $ 21.950,https://ardiaprod.vtexassets.com/arquivos/ids/335164-500-auto?v=638642364735200000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan con Cereales Oroweat 600 Gr.,,,2x1,$ 8.250,Agregar,Precio por 1 Kg $ 13.750,https://ardiaprod.vtexassets.com/arquivos/ids/354676-500-auto?v=638887748182870000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelos Blandos Mentos Confitados Fruta 30 Gr.,,,2 x $1600,$ 1.100,Agregar,"Precio por 10 Gr $ 366,67",https://ardiaprod.vtexassets.com/arquivos/ids/315227-500-auto?v=638599438949870000&width=500&height=auto&aspect=true,2025-08-30
,,,Chicle Bubbaloo Tutti Frutti 5 Gr.,,,3 x $270,$ 120,Agregar,Precio por 10 Gr $ 240,https://ardiaprod.vtexassets.com/arquivos/ids/326378-500-auto?v=638599594320730000&width=500&height=auto&aspect=true,2025-08-30
,,,Nachos Queso DIA 100 Gr.,,,,$ 2.000,Agregar,Precio por 1 Kg $ 20.000,https://ardiaprod.vtexassets.com/arquivos/ids/340485-500-auto?v=638701120605570000&width=500&height=auto&aspect=true,2025-08-30
-11%,-11%,,Chocolate 40% Semi Amargo Hershey's 92 Gr.,,,$ 3.50011%,$ 3.100,Agregar,"Precio por 1 Kg $ 42.682,93",https://ardiaprod.vtexassets.com/arquivos/ids/335753-500-auto?v=638653102128700000&width=500&height=auto&aspect=true,2025-08-30
,,,Chicle Bubbaloo Uva 5 Gr.,,,3 x $270,$ 120,Agregar,Precio por 10 Gr $ 240,https://ardiaprod.vtexassets.com/arquivos/ids/326380-500-auto?v=638599594351330000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Smack Relleno Mousse de Chocolate 50 Gr.,,,2 x $800,$ 550,Agregar,Precio por 1 Kg $ 11.000,https://ardiaprod.vtexassets.com/arquivos/ids/326370-500-auto?v=638786849409600000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Turimar Negro 60 Gr.,,,2 x $1100,$ 700,Agregar,"Precio por 1 Kg $ 11.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/325672-500-auto?v=638599584311900000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Smack Chocolate con Dulce de Leche 60 Gr.,,,2 x $800,$ 550,Agregar,"Precio por 1 Kg $ 9.166,67",https://ardiaprod.vtexassets.com/arquivos/ids/326375-500-auto?v=638786849617200000&width=500&height=auto&aspect=true,2025-08-30
-8%,-8%,,Alfajor de Arroz Chocoarroz con Dulce de Leche 22 Gr.,,,$ 1.3008%,$ 1.200,Agregar,"Precio por 10 Gr $ 590,91",https://ardiaprod.vtexassets.com/arquivos/ids/332620-500-auto?v=638619041508400000&width=500&height=auto&aspect=true,2025-08-30
,,,Bizcochuelo Chocman Black Bonafide 35 Gr.,,,2 x $1200,$ 830,Agregar,"Precio por 1 Kg $ 23.714,29",https://ardiaprod.vtexassets.com/arquivos/ids/330789-500-auto?v=638599653939170000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Tirabuzon N28 Matarazzo 500 Gr.,,,,$ 1.650,Agregar,Precio por 1 Kg $ 3.300,https://ardiaprod.vtexassets.com/arquivos/ids/308688-500-auto?v=638877764637700000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Cuquets Chocolate 38 Gr.,,,,$ 390,Agregar,"Precio por 10 Gr $ 102,63",https://ardiaprod.vtexassets.com/arquivos/ids/316325-500-auto?v=638599457782630000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Turimar Blanco 60 Gr.,,,2 x $1100,$ 700,Agregar,"Precio por 1 Kg $ 11.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/325670-500-auto?v=638599584284870000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Con Leche 150 Gr.,,,2do al 70%,$ 8.725,Agregar,"Precio por 1 Kg $ 58.166,67",https://ardiaprod.vtexassets.com/arquivos/ids/315779-500-auto?v=638599450129370000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea Choconuss Gallo Snacks Avellana 20 Gr.,,,2 x $1400,$ 1.050,Agregar,Precio por 10 Gr $ 525,https://ardiaprod.vtexassets.com/arquivos/ids/317174-500-auto?v=638599470168000000&width=500&height=auto&aspect=true,2025-08-30
-11%,-11%,,Rosca Marmolada 400 Gr.,,,$ 2.69011%,$ 2.390,Agregar,Precio por 1 Kg $ 5.975,https://ardiaprod.vtexassets.com/arquivos/ids/313293-500-auto?v=638599412378430000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelo Menta Fullmint 28 Gr.,,,2 x $750,$ 450,Agregar,"Precio por 10 Gr $ 160,71",https://ardiaprod.vtexassets.com/arquivos/ids/349763-500-auto?v=638816900346870000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelos Duros DIA Frutal Sin Tacc 150 Gr.,,,,$ 1.250,Agregar,"Precio por 1 Kg $ 8.333,33",https://ardiaprod.vtexassets.com/arquivos/ids/313069-500-auto?v=638754974606830000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelo Cherry Menta Fullmint 28 Gr.,,,2 x $750,$ 450,Agregar,"Precio por 10 Gr $ 160,71",https://ardiaprod.vtexassets.com/arquivos/ids/349761-500-auto?v=638816900324100000&width=500&height=auto&aspect=true,2025-08-30
,,,Budin Con Chips Zupay 170 Gr.,,,,$ 1.330,Agregar,"Precio por 1 Kg $ 7.823,53",https://ardiaprod.vtexassets.com/arquivos/ids/350778-500-auto?v=638828993445200000&width=500&height=auto&aspect=true,2025-08-30
,,,Cubanito Relleno De Pasta De Avellana Arbanit Fellow 26 Gr.,,,2 x $1700,$ 1.100,Agregar,"Precio por 10 Gr $ 423,08",https://ardiaprod.vtexassets.com/arquivos/ids/317976-500-auto?v=638599482172000000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Merengue Fantoche 85 Gr.,,,2 x $1900,$ 1.315,Agregar,"Precio por 1 Kg $ 15.470,59",https://ardiaprod.vtexassets.com/arquivos/ids/330025-500-auto?v=638599643473430000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor San Telmo Blanco 35 Gr.,,,2 x $1200,$ 750,Agregar,"Precio por 10 Gr $ 214,29",https://ardiaprod.vtexassets.com/arquivos/ids/326514-500-auto?v=638599596048170000&width=500&height=auto&aspect=true,2025-08-30
,,,Tirabuzon N 34 Luchetti 500 Gr.,,,,$ 1.394,Agregar,Precio por 1 Kg $ 2.788,https://ardiaprod.vtexassets.com/arquivos/ids/312550-500-auto?v=638872605759030000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Chocolate Fantoche 85 Gr.,,,2 x $1900,$ 1.315,Agregar,"Precio por 1 Kg $ 15.470,59",https://ardiaprod.vtexassets.com/arquivos/ids/330027-500-auto?v=638599643499000000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor San Telmo Negro 35 Gr.,,,2 x $1200,$ 750,Agregar,"Precio por 10 Gr $ 214,29",https://ardiaprod.vtexassets.com/arquivos/ids/326516-500-auto?v=638917483249130000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan Campero Sin Tacc Binfinit con Semillas 190 Gr.,,,,$ 5.600,Agregar,"Precio por 1 Kg $ 29.473,68",https://ardiaprod.vtexassets.com/arquivos/ids/320197-500-auto?v=638599514324130000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelos Blandos Mentos Confitados Menta 30 Gr.,,,2 x $1600,$ 1.100,Agregar,"Precio por 10 Gr $ 372,88",https://ardiaprod.vtexassets.com/arquivos/ids/315226-500-auto?v=638599438936570000&width=500&height=auto&aspect=true,2025-08-30
,,,Cubanito Relleno De Dulce De Leche Arbanit Fellow 26 Gr.,,,2 x $1700,$ 1.100,Agregar,"Precio por 10 Gr $ 423,08",https://ardiaprod.vtexassets.com/arquivos/ids/307152-500-auto?v=638599326496500000&width=500&height=auto&aspect=true,2025-08-30
,,,Gomitas Billiken Rollo Frutal 35 Gr.,,,2 x $800,$ 500,Agregar,"Precio por 10 Gr $ 142,86",https://ardiaprod.vtexassets.com/arquivos/ids/325682-500-auto?v=638786848775130000&width=500&height=auto&aspect=true,2025-08-30
,,,Push Pop Tadicional 15 Gr.,,,2 x $1350,$ 815,Agregar,"Precio por 10 Gr $ 407,50",https://ardiaprod.vtexassets.com/arquivos/ids/312028-500-auto?v=638599394399400000&width=500&height=auto&aspect=true,2025-08-30
,,,Budin Vainilla Zupay 170 Gr.,,,,$ 1.330,Agregar,"Precio por 1 Kg $ 7.823,53",https://ardiaprod.vtexassets.com/arquivos/ids/350779-500-auto?v=638828993459730000&width=500&height=auto&aspect=true,2025-08-30
,,,Budin De Vainilla Con Chips Smams 180 Gr.,,,,$ 3.590,Agregar,"Precio por 1 Kg $ 19.944,44",https://ardiaprod.vtexassets.com/arquivos/ids/348235-500-auto?v=638790984854530000&width=500&height=auto&aspect=true,2025-08-30
-10%,-10%,,Alfajor Mousse Chocolate Cachafaz 72 Gr.,,,$ 2.09010%,$ 1.890,Agregar,"Precio por 1 Kg $ 29.027,78",https://ardiaprod.vtexassets.com/arquivos/ids/337295-500-auto?v=638661374479230000&width=500&height=auto&aspect=true,2025-08-30
,,,Budín Vainilla Sin Tacc Smams 180 Gr.,,,,$ 3.590,Agregar,"Precio por 1 Kg $ 19.944,44",https://ardiaprod.vtexassets.com/arquivos/ids/348232-500-auto?v=638790984821100000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Con Leche Nestlé 22 Gr.,,,2 x $1800,$ 1.325,Agregar,"Precio por 1 Kg $ 60.227,27",https://ardiaprod.vtexassets.com/arquivos/ids/355510-500-auto?v=638896388920130000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan de Molde Sin Tacc Binfinit Blanco 200 Gr.,,,,$ 6.300,Agregar,Precio por 1 Kg $ 31.500,https://ardiaprod.vtexassets.com/arquivos/ids/320196-500-auto?v=638599514309830000&width=500&height=auto&aspect=true,2025-08-30
-6%,-6%,,Premezcla para Pizza y Pan Gourmet Sin TACC Pureza 500 Gr.,,,$ 3.5456%,$ 3.315,Agregar,Precio por 1 Kg $ 7.090,https://ardiaprod.vtexassets.com/arquivos/ids/343093-500-auto?v=638726177422100000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Mecano Bonafide De Dulce De Leche 19 Gr.,,,2 x $1500,$ 990,Agregar,"Precio por 1 Kg $ 52.105,26",https://ardiaprod.vtexassets.com/arquivos/ids/311567-500-auto?v=638917487716300000&width=500&height=auto&aspect=true,2025-08-30
,,,Bombon Chocolate Hamlet 13 Gr.,,,3x2,$ 375,Agregar,"Precio por 10 Gr $ 288,46",https://ardiaprod.vtexassets.com/arquivos/ids/330601-500-auto?v=638599651447400000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate DIA Blanco 30 Gr.,,,2 x $2000,$ 1.090,Agregar,"Precio por 1 Kg $ 36.333,33",https://ardiaprod.vtexassets.com/arquivos/ids/318310-500-auto?v=638917484099130000&width=500&height=auto&aspect=true,2025-08-30
,,,Gomitas Yummy Dino 25 Gr.,,,2 x $900,$ 550,Agregar,"Precio por 1 Kg $ 18.333,33",https://ardiaprod.vtexassets.com/arquivos/ids/316321-500-auto?v=638917484564130000&width=500&height=auto&aspect=true,2025-08-30
,,,Chicles Beldent Globo 20 Gr.,,,3 x $1900,$ 930,Agregar,Precio por 10 Gr $ 930,https://ardiaprod.vtexassets.com/arquivos/ids/321136-500-auto?v=638786847258330000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Sapito 10 Gr.,,,2 x $550,$ 345,Agregar,Precio por 1 Kg $ 34.500,https://ardiaprod.vtexassets.com/arquivos/ids/356974-500-auto?v=638918861879870000&width=500&height=auto&aspect=true,2025-08-30
