descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-20%,-20%,,Vegetales Deshidratados Knorr Espinaca 50 Gr.,,,$ 2.49020%,$ 1.990,Agregar,Precio por 1 Kg $ 49.800,https://ardiaprod.vtexassets.com/arquivos/ids/353590-500-auto?v=638871333555430000&width=500&height=auto&aspect=true,2025-08-30
-40%,-40%,,Polenta Molinos Ala 500 Gr.,,,$ 82540%,$ 495,Agregar,Precio por 1 Kg $ 1.650,https://ardiaprod.vtexassets.com/arquivos/ids/349756-500-auto?v=638816900253670000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Cebolla Deshidratada Knorr 100 Gr.,,,$ 2.49020%,$ 1.990,Agregar,Precio por 1 Kg $ 24.900,https://ardiaprod.vtexassets.com/arquivos/ids/347749-500-auto?v=638782336767570000&width=500&height=auto&aspect=true,2025-08-30
-39%,-39%,,Harina De Trigo Fotivac Morixe 000 1 Kg.,,,$ 89539%,$ 550,Agregar,Precio por 1 Kg $ 895,https://ardiaprod.vtexassets.com/arquivos/ids/337792-500-auto?v=638902599608930000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Tostaditas Light Dia 140 Gr.,,,$ 1.93015%,$ 1.640,Agregar,"Precio por 1 Kg $ 13.785,71",https://ardiaprod.vtexassets.com/arquivos/ids/355843-500-auto?v=638903296334270000&width=500&height=auto&aspect=true,2025-08-30
-31%,-31%,,Harina 0000 Morixe 1 Kg.,,,$ 1.14531%,$ 790,Agregar,Precio por 1 Kg $ 1.145,https://ardiaprod.vtexassets.com/arquivos/ids/318389-500-auto?v=638599488718800000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan Rallado Exclusivo 400 Gr.,,,$ 82015%,$ 695,Agregar,Precio por 1 Kg $ 2.050,https://ardiaprod.vtexassets.com/arquivos/ids/354972-500-auto?v=638889473100170000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Aceite de Girasol Cañuelas 900 Ml.,,,$ 2.84530%,$ 1.995,Agregar,"Precio por 1 LT $ 3.161,11",https://ardiaprod.vtexassets.com/arquivos/ids/309101-500-auto?v=638599352441500000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Ketchup Hellmanns Regular Doypack 250 Gr.,,,$ 2.04520%,$ 1.640,Agregar,Precio por 1 Kg $ 8.180,https://ardiaprod.vtexassets.com/arquivos/ids/344785-500-auto?v=638744391109630000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix de Especias Sabor Norteño Knorr 24 Gr.,,,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/349535-500-auto?v=638815177514430000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Vegetales Deshidratados Knorr Pimiento-Morrón 75 Gr.,,,$ 3.99020%,$ 3.200,Agregar,Precio por 1 Kg $ 53.200,https://ardiaprod.vtexassets.com/arquivos/ids/347739-500-auto?v=638782336658000000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Zanahoria Deshidratada Knorr 100 Gr.,,,$ 2.49020%,$ 1.990,Agregar,Precio por 1 Kg $ 24.900,https://ardiaprod.vtexassets.com/arquivos/ids/347759-500-auto?v=638782336884730000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Aceite Blend Girasol Y Oliva Cocinero 500 Ml.,,,$ 6.12515%,$ 5.200,Agregar,Precio por 1 LT $ 12.250,https://ardiaprod.vtexassets.com/arquivos/ids/338143-500-auto?v=638671879067570000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Pickles Castell 140 Gr.,,,$ 2.12522%,$ 1.650,Agregar,"Precio por 1 Kg $ 15.178,57",https://ardiaprod.vtexassets.com/arquivos/ids/329620-500-auto?v=638599638227070000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix de Especias Sabor Verdura Knorr 24 Gr.,,,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/349536-500-auto?v=638815177535030000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Maní Tostado Pelado Sin Sal Dia 105 Gr.,,,$ 1.05515%,$ 895,Agregar,"Precio por 1 Kg $ 10.047,62",https://ardiaprod.vtexassets.com/arquivos/ids/344465-500-auto?v=638739135412370000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Maní Salado Sin Piel Dia 105 Gr.,,,$ 1.05515%,$ 895,Agregar,"Precio por 1 Kg $ 10.047,62",https://ardiaprod.vtexassets.com/arquivos/ids/344460-500-auto?v=638739135357870000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Maní Salado Sin Piel Sabor Crema & Cebolla Dia 100 Gr.,,,$ 1.25515%,$ 1.065,Agregar,Precio por 1 Kg $ 12.550,https://ardiaprod.vtexassets.com/arquivos/ids/340420-500-auto?v=638696797186800000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Maní Sin Sal Sabor Panceta Dia 100 Gr.,,,$ 1.25515%,$ 1.065,Agregar,Precio por 1 Kg $ 12.550,https://ardiaprod.vtexassets.com/arquivos/ids/340416-500-auto?v=638696797141030000&width=500&height=auto&aspect=true,2025-08-30
-25%,-25%,,Mayonesa Clásica Hellmanns Sin Tacc Doypack 475 Gr.,,,$ 2.50025%,$ 1.870,Agregar,"Precio por 1 Kg $ 5.263,16",https://ardiaprod.vtexassets.com/arquivos/ids/345116-500-auto?v=638744394293400000&width=500&height=auto&aspect=true,2025-08-30
,,,Atún Desmenuzado Al Natural Dia 170 Gr.,,,Llevás 2 a $790 c/u,$ 1.220,Agregar,"Precio por 1 Kg $ 7.176,47",https://ardiaprod.vtexassets.com/arquivos/ids/356107-500-auto?v=638907617753900000&width=500&height=auto&aspect=true,2025-08-30
,,,Puré De Tomate Arcor 520 Gr.,,,Llevás 2 a $590 c/u,$ 950,Agregar,"Precio por 1 Kg $ 1.826,92",https://ardiaprod.vtexassets.com/arquivos/ids/309461-500-auto?v=638599357573500000&width=500&height=auto&aspect=true,2025-08-30
