categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chocolates,,HERSHEY,Chocolate Amargo 73% Cacao Hershey's 85 Gr,,"$1.775,00",,20882.35KG,https://diaonline.supermercadosdia.com.ar/chocolate-amargo-73--cacao-hershey-s-85-gr-271697/p,https://ardiaprod.vtexassets.com/arquivos/ids/275139-500-auto?v=638322575657470000&width=500&height=auto&aspect=true
almacen,chocolates,,MECANO,Chocolate Blanco Con Dulce De Leche Mecano 45 Gr,,"$595,00",,13222.22KG,https://diaonline.supermercadosdia.com.ar/chocolate-blanco-con-dulce-de-leche-mecano-45-gr-293749/p,https://ardiaprod.vtexassets.com/arquivos/ids/280783-500-auto?v=638322645995900000&width=500&height=auto&aspect=true
almacen,chocolates,,HERSHEY,Chocolate Cookies & Cream Hershey's 77 Gr,,"$1.490,00",,19350.65KG,https://diaonline.supermercadosdia.com.ar/chocolate-cookies---cream-hershey-s-77-gr-224290/p,https://ardiaprod.vtexassets.com/arquivos/ids/297276-500-auto?v=638489441453400000&width=500&height=auto&aspect=true
almacen,chocolates,,BILLIKEN,Marshmallows Gongys Billiken Trenza 28 Gr.,,"$350,00",,12500.00KG,https://diaonline.supermercadosdia.com.ar/marshmallows-gongys-billiken-trenza-28-gr-282645/p,https://ardiaprod.vtexassets.com/arquivos/ids/278401-500-auto?v=638322616230770000&width=500&height=auto&aspect=true
almacen,chocolates,,DORIN'S,Pastillas Corazoncito Dorins 25 Gr.,,"$320,00",,12800.00KG,https://diaonline.supermercadosdia.com.ar/pastillas-corazoncito-dorins-25-gr-276967/p,https://ardiaprod.vtexassets.com/arquivos/ids/277407-500-auto?v=638322603942830000&width=500&height=auto&aspect=true
almacen,chocolates,,VIZZIO,Chocolate Vizzio 60% Cacao 90 Gr.,,"$2.395,00",,26611.11KG,https://diaonline.supermercadosdia.com.ar/chocolate-vizzio-60--cacao-90-gr-285402/p,https://ardiaprod.vtexassets.com/arquivos/ids/279468-500-auto?v=638322628805130000&width=500&height=auto&aspect=true
almacen,chocolates,,GEORGALOS,Chocolatin Georgalos con Leche 8 Gr.,,"$230,00",,28750.00KG,https://diaonline.supermercadosdia.com.ar/chocolatin-georgalos-con-leche-8-gr-282558/p,https://ardiaprod.vtexassets.com/arquivos/ids/278377-500-auto?v=638322615901570000&width=500&height=auto&aspect=true
almacen,chocolates,,VIZZIO,Chocolate Vizzio Leche 90 Gr.,,"$1.995,00",,22166.67KG,https://diaonline.supermercadosdia.com.ar/chocolate-vizzio-leche-90-gr-285400/p,https://ardiaprod.vtexassets.com/arquivos/ids/279466-500-auto?v=638322628768270000&width=500&height=auto&aspect=true
almacen,chocolates,,VIZZIO,Chocolate Vizzio Blanco 90 Gr.,,"$1.995,00",,22166.67KG,https://diaonline.supermercadosdia.com.ar/chocolate-vizzio-blanco-90-gr-285401/p,https://ardiaprod.vtexassets.com/arquivos/ids/279467-500-auto?v=638322628785330000&width=500&height=auto&aspect=true
almacen,chocolates,,ARCOR,Caramelo Arcor Menta y Chocolate 140 Gr.,,"$900,00",,6428.57KG,https://diaonline.supermercadosdia.com.ar/caramelo-arcor-menta-y-chocolate-140-gr-276097/p,https://ardiaprod.vtexassets.com/arquivos/ids/277199-500-auto?v=638322601256600000&width=500&height=auto&aspect=true
almacen,chocolates,,MILKA,Chocolate con Leche Milka 150 Gr.,,"$3.295,00",,29954.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-milka-150-gr-274865/p,https://ardiaprod.vtexassets.com/arquivos/ids/294403-500-auto?v=638458629725870000&width=500&height=auto&aspect=true
almacen,chocolates,,GEORGALOS,Chocolatin Georgalos Blanco 8 Gr.,,"$230,00",,28750.00KG,https://diaonline.supermercadosdia.com.ar/chocolatin-georgalos-blanco-8-gr-282557/p,https://ardiaprod.vtexassets.com/arquivos/ids/296727-500-auto?v=638482878151870000&width=500&height=auto&aspect=true
almacen,chocolates,,MILKA,Chocolate Milka Leger con Leche 110 Gr.,,"$3.295,00",,29954.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-milka-leger-con-leche-110-gr-274864/p,https://ardiaprod.vtexassets.com/arquivos/ids/294398-500-auto?v=638458629673430000&width=500&height=auto&aspect=true
almacen,chocolates,,BIZNIKKE,Huevo de Chocolate Biznikke Nevado 20 Gr.,,"$350,00",,17500.00KG,https://diaonline.supermercadosdia.com.ar/huevo-de-chocolate-biznikke-nevado-20-gr-233517/p,https://ardiaprod.vtexassets.com/arquivos/ids/270213-500-auto?v=638322503409770000&width=500&height=auto&aspect=true
almacen,chocolates,,BILLIKEN,Mentitas Billiken Miel y Menta Fuerte 28 Gr.,,"$75,00",,2678.57KG,https://diaonline.supermercadosdia.com.ar/mentitas-billiken-miel-y-menta-fuerte-28-gr-282641/p,https://ardiaprod.vtexassets.com/arquivos/ids/278398-500-auto?v=638322616181570000&width=500&height=auto&aspect=true
almacen,chocolates,,BIZNIKKE,Huevo de Pascua Biznikke Blanco 100 Gr.,,"$1.190,00",,11900.00KG,https://diaonline.supermercadosdia.com.ar/huevo-de-pascua-biznikke-blanco-100-gr-161724/p,https://ardiaprod.vtexassets.com/arquivos/ids/267188-500-auto?v=638322461374430000&width=500&height=auto&aspect=true
almacen,chocolates,,BIZNIKKE,Chocolatín Biznikkecon Leche 8 Gr.,,"$320,00",,40000.00KG,https://diaonline.supermercadosdia.com.ar/chocolatin-biznikkecon-leche-8-gr-279379/p,https://ardiaprod.vtexassets.com/arquivos/ids/278034-500-auto?v=638322611697300000&width=500&height=auto&aspect=true
almacen,chocolates,,VIZZIO,Chocolate Vizzio con Leche y Maní 85 Gr.,,"$1.755,00",,20647.06KG,https://diaonline.supermercadosdia.com.ar/chocolate-vizzio-con-leche-y-mani-85-gr-275232/p,https://ardiaprod.vtexassets.com/arquivos/ids/276785-500-auto?v=638322596234700000&width=500&height=auto&aspect=true
almacen,chocolates,,DIA,Chocolate para Taza DIA 100 Gr.,,"$1.830,00",,18300.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-para-taza-dia-100-gr-60287/p,https://ardiaprod.vtexassets.com/arquivos/ids/264262-500-auto?v=638322421189670000&width=500&height=auto&aspect=true
almacen,chocolates,,TOKKE,Chocolate Tokke con Dulce de Leche 72 Gr.,,"$1.250,00",,17361.11KG,https://diaonline.supermercadosdia.com.ar/chocolate-tokke-con-dulce-de-leche-72-gr-274907/p,https://ardiaprod.vtexassets.com/arquivos/ids/276643-500-auto?v=638322594463600000&width=500&height=auto&aspect=true
almacen,chocolates,,NESTLE,Chocolate con Maní Nestle x 90 Gr.,,"$2.920,00",,32444.44KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-nestle-x-90-gr-275323/p,https://ardiaprod.vtexassets.com/arquivos/ids/301080-500-auto?v=638522267050070000&width=500&height=auto&aspect=true
almacen,chocolates,,KINDER,Huevo de Pascua Kinder Azul 20 Gr.,,"$1.350,00",,67500.00KG,https://diaonline.supermercadosdia.com.ar/huevo-de-pascua-kinder-azul-20-gr-37008/p,https://ardiaprod.vtexassets.com/arquivos/ids/263558-500-auto?v=638322410271400000&width=500&height=auto&aspect=true
almacen,chocolates,,KINDER,"Barra de Chocolate con Leche Kinder 12,5 Gr.",,"$430,00",,34400.00KG,https://diaonline.supermercadosdia.com.ar/barra-de-chocolate-con-leche-kinder-125-gr-145556/p,https://ardiaprod.vtexassets.com/arquivos/ids/266784-500-auto?v=638322455865870000&width=500&height=auto&aspect=true
